id,modes.mode,grp,active,artemisId,make,manufacturerDate,productModel,modelNumber,seatType,heightRange,weightRange,minHeight,maxHeight,minWeight,maxWeight,picture,complaintsCount,recallsCount,investigationsCount,manufacturerCommunicationsCount,modes.count,modes.recommendedAge,modes.harnessType,modes.modeWeight,modes.weightHeightRange,modes.minUsingSeatBelts,modes.maxUsingSeatBelts,modes.minUsingLowerAnchors,modes.maxUsingLowerAnchors,modes.maxUsingLowerAnchorsFinal,modes.minChildHeight,modes.maxChildHeight,modes.maxChildHeightFinal,modes.maxChildWeightFinal,modes.ratings.label,modes.ratings.notes,geom.score,EvaluationLabels,EvaluationOfInstructions,OverallRating,SecuringChild,VehicleInstallationFeatures
137708,Rear-Facing,186,FALSE,,GB,2016-09-01,Idan,616101017,Infant,"Up to 30.0""",4.0lbs - 35.0lbs,0,30,4,35,https://static.nhtsa.gov/images/childseats/GB_Idan_webview.jpg,0,0,0,0,1,FALSE,5-pt,24.7,"4lb - 35lb / up to 30""",4,35,4,40.3,35,0,30,30,35,Rating Name,"The seat was not set for the smallest occupant when removed from the packaging.
The belt routing path is not completely labeled.
LATCH attachments have buttons to depress for removal. There is no labeling to indicate which position the carrier handle should be placed in in the vehicle.
The instruction manual storage may be difficult to find and use. The manual may fall out of the carrier and there is no storage area on the base.",5,5,5,5,5,5
137652,Rear-Facing,136,FALSE,,Doona,2016-01-07,Infant Seat,SP101-10-002-003,Infant,"Up to 32.0""",4.0lbs - 35.0lbs,0,32,4,35,https://static.nhtsa.gov/images/childseats/Doona_Infant.jpg,0,0,0,0,1,FALSE,5-pt,28,"4lb - 35lb / up to 32""",4,35,4,37,35,0,32,32,35,Rating Name,"A head hugger or body pillow blocks the harness slots from being visible. The harness must be rethreaded to adjust height for the child's growth as well as for reassembly after cleaning.
LATCH attachments have buttons to depress for removal.
The instruction manual storage location may be difficult to use. No full picture exists of a properly restrained child next to sizing information in the owner's manual.",4.78176249895018,5,5,5,4,5
137669,Booster,100,FALSE,,Cybex,2016-02-01,Solution X-Fix,514116019,Booster,"38.0"" - 60.0""",33.0lbs - 100.0lbs,38,60,33,100,https://static.nhtsa.gov/images/childseats/Cybex Solution X-Fix.jpg,0,0,0,0,1,FALSE,Highback,15,"33lb - 100lb / 38"" - 60""",33,100,-3,50,-3,38,60,60,100,Rating Name,"The belt routing path is not completely labeled.
The manual cannot be accessed while the car seat is installed in this mode and the child is in the car seat.",4.78176249895018,4,5,5,5,5
137736,Rear-Facing,29,FALSE,,Britax,2018-05-01,Endeavors,E1A539A,Infant,"Up to 32.0""",4.0lbs - 35.0lbs,0,32,4,35,https://static.nhtsa.gov/images/childseats/Britax_Endeavours_webview.jpg,0,0,0,0,1,FALSE,5-pt,22.4,"4lb - 35lb / up to 32""",4,35,4,42.6,35,0,32,32,35,Rating Name,"The seat was not set for the smallest occupant when removed from the packaging. The harness must be rethreaded to reassemble after cleaning the car seat cover/padding.
LATCH attachments have buttons to depress for removal.
The instruction manual storage location may be difficult to find. Instructions for determining seat belt types are present but are incomplete.",4.78176249895018,5,5,5,4,5
137749,Rear-Facing,30,FALSE,,Britax,2018-02-01,B-Safe Ultra,E1C009S,Infant,"Up to 32.0""",4.0lbs - 35.0lbs,0,32,4,35,https://static.nhtsa.gov/images/childseats/Britax_B-safe_Ultra_webview.jpg,0,0,0,0,1,FALSE,5-pt,21.3,"4lb - 35lb / up to 32""",4,35,4,43.7,35,0,32,32,35,Rating Name,"The seat was not set for the smallest occupant when removed from the packaging.  Loose parts may be generated when disassembling for cleaning.
LATCH attachments have buttons to depress for removal.
The instruction manual storage location may be difficult to find. Instructions for determining seat belt types are present but are incomplete.",4.78176249895018,5,5,5,4,5
137773,Rear-Facing,204,FALSE,,Graco,2018-09-04,Snugride Snuglock Extend2Fit,2048758,Infant,"Up to 35.0""",4.0lbs - 35.0lbs,0,35,4,35,https://static.nhtsa.gov/images/childseats/Graco_Snuglock_Extend2Fit_webview.jpg,0,0,0,0,1,FALSE,5-pt,19.4,"4lb - 35lb / up to 35""",4,35,4,45.6,35,0,35,35,35,Rating Name,"The labels do not explain how to use LATCH in detail.
The belt positioning feature or lockoff is simple to use, but the user must refer to the owner's manual for complete instructions. LATCH attachments have buttons to depress for removal. The storage locations for the LATCH belt are not obvious and may be overlooked. There is no labeling to indicate which position the carrier handle should be placed in in the vehicle.
The instruction manual storage location may be difficult to find and cannot be accessed while the child is secured in the seat. No complete illustration of a child in the car seat is shown next to height/weight information.",4.78176249895018,5,5,5,5,4
137787,Rear-Facing,95,FALSE,,Cybex,2019-03-22,Aton M,518002867,Infant,"17.0"" - 30.0""",4.0lbs - 35.0lbs,17,30,4,35,https://static.nhtsa.gov/images/childseats/Cybex_Aton_M_webview.jpg,0,0,0,0,1,FALSE,5-pt,23.7,"4lb - 35lb / 17"" - 30""",4,35,4,41.3,35,17,30,30,35,Rating Name,"All belt paths are not completely labeled.
The instruction manual storage location may be difficult to find and cannot be accessed while the child is secured in the seat. Height/weight information does not match between the written instructions and the labeling.",4.78176249895018,5,4,5,5,5
137804,Forward-Facing,337,FALSE,,WAYB,2019-07-19,Pico,CSTPI-ER-002,Forward-Facing,"30.0"" - 45.0""",22.0lbs - 50.0lbs,30,45,22,50,https://static.nhtsa.gov/images/childseats/WAYB_Pico_webview.jpg,0,0,0,0,1,FALSE,5-pt,8.6,"22lb - 50lb / 30"" - 45""",22,50,22,56.4,50,30,45,45,50,Rating Name,"There are fewer than three harness positions available for use.
The labels do not explain how to use LATCH or the tether strap in detail.
LATCH attachments have buttons to depress for removal.
The instruction manual storage location cannot be accessed while the child is secured in the seat. No complete illustration of a child in the car seat is shown next to height/weight information.",4.78176249895018,4,5,5,5,5
137810,Rear-Facing,45,FALSE,,Britax,2021-02-01,B-Safe Gen 2,E1C732C,Infant,"Up to 32.0""",4.0lbs - 35.0lbs,0,32,4,35,https://static.nhtsa.gov/images/childseats/Britax_B-Safe_Gen2.jpg,0,0,0,0,1,FALSE,5-pt,20.3,"4lb - 35lb / up to 32""",4,35,4,44.7,35,0,32,32,35,Rating Name,"A headhugger or body pillow blocks the harness slots from being visible. The harness must be rethreaded to adjust height for the child's growth as well as for reassembly after cleaning, and loose parts may be generated during these processes.
LATCH attachments have buttons to depress for removal.
The instruction manual storage location may be difficult to find. Instructions for determining seat belt types are present but are incomplete.",4.78176249895018,5,5,5,4,5
137741,Booster,187,FALSE,,Graco,2018-03-24,Turbo TakeAlong Backless Booster,2048750,Booster,"43.0"" - 57.0""",40.0lbs - 100.0lbs,43,57,40,100,https://static.nhtsa.gov/images/childseats/Graco_Turbobooster_TakeAlong_LB_webview.jpg,0,0,0,0,1,FALSE,No back,5.5,"40lb - 100lb / 43"" - 57""",40,100,-3,59.5,-3,43,57,57,100,Rating Name,"The belt path is not completely labeled. The seat belt type warning on the label does not explicitly state that a lap-only belt may not be used.
The instruction manual storage location may be difficult to find.",4.51440225723717,3,5,5,5,5
